date,open,high,low,close,volume
2025-07-03 00:00:00+05:30,758.0,763.0,716.35,724.45,3300370
2025-07-04 00:00:00+05:30,724.0,724.9,700.75,712.9,1634777
2025-07-07 00:00:00+05:30,716.4,717.9,699.5,703.0,606255
2025-07-08 00:00:00+05:30,706.0,731.7,686.2,707.4,1706784
2025-07-09 00:00:00+05:30,711.85,711.85,694.0,697.9,649511
2025-07-10 00:00:00+05:30,697.9,704.85,689.1,693.4,374973
2025-07-11 00:00:00+05:30,693.0,708.95,691.2,697.7,546632
2025-07-14 00:00:00+05:30,698.0,699.8,681.1,686.7,399397
2025-07-15 00:00:00+05:30,689.1,703.0,688.0,696.55,430343
2025-07-16 00:00:00+05:30,701.25,724.0,698.55,708.4,1358878
2025-07-17 00:00:00+05:30,710.2,712.4,691.0,696.7,404636
2025-07-18 00:00:00+05:30,700.0,734.0,693.05,718.8,1173180
2025-07-21 00:00:00+05:30,720.35,753.0,716.3,738.5,3732589
2025-07-22 00:00:00+05:30,740.0,740.0,718.1,722.1,520912
2025-07-23 00:00:00+05:30,727.0,727.0,698.65,712.5,543091
2025-07-24 00:00:00+05:30,715.0,731.15,711.15,719.5,609280
2025-07-25 00:00:00+05:30,719.5,719.75,696.05,703.1,392421
2025-07-28 00:00:00+05:30,702.9,702.9,681.2,686.1,365436
2025-07-29 00:00:00+05:30,684.0,695.0,668.3,687.95,365370
2025-07-30 00:00:00+05:30,689.0,701.6,680.3,683.6,286972
2025-07-31 00:00:00+05:30,671.25,680.0,660.6,668.6,293604
2025-08-01 00:00:00+05:30,668.6,674.1,654.0,656.95,229349
2025-08-04 00:00:00+05:30,657.25,658.0,637.0,639.3,336107
2025-08-05 00:00:00+05:30,639.3,654.55,627.25,630.8,404474
2025-08-06 00:00:00+05:30,635.0,658.0,619.0,643.25,1046406
2025-08-07 00:00:00+05:30,625.0,635.2,620.35,632.1,459834
2025-08-08 00:00:00+05:30,633.0,634.2,613.0,618.85,244606
2025-08-11 00:00:00+05:30,615.2,622.3,602.95,611.9,396521
2025-08-12 00:00:00+05:30,614.0,628.0,611.5,614.35,269947
2025-08-13 00:00:00+05:30,614.3,621.8,607.1,609.85,159422
2025-08-14 00:00:00+05:30,612.05,619.25,605.0,611.95,209308
2025-08-18 00:00:00+05:30,615.0,622.2,609.3,612.3,251056
2025-08-19 00:00:00+05:30,615.35,665.0,615.0,654.75,1991385
2025-08-20 00:00:00+05:30,654.75,679.0,646.55,652.15,1272225
2025-08-21 00:00:00+05:30,652.15,653.8,628.5,633.0,495285
2025-08-22 00:00:00+05:30,632.85,632.85,618.0,621.15,368048
2025-08-25 00:00:00+05:30,624.4,632.95,618.75,628.0,265285
2025-08-26 00:00:00+05:30,622.0,628.0,615.3,618.8,212338
2025-08-28 00:00:00+05:30,616.0,616.0,601.2,606.05,246463
2025-08-29 00:00:00+05:30,607.9,611.0,598.0,599.6,183596
2025-09-01 00:00:00+05:30,605.6,611.55,600.4,603.15,366370
2025-09-02 00:00:00+05:30,609.0,618.0,603.25,610.0,270530
2025-09-03 00:00:00+05:30,610.0,621.45,607.45,615.05,288316
2025-09-04 00:00:00+05:30,625.0,642.2,605.8,610.7,317348
2025-09-05 00:00:00+05:30,615.7,618.9,607.25,611.7,159538
2025-09-08 00:00:00+05:30,615.0,618.0,606.25,607.65,126632
2025-09-09 00:00:00+05:30,615.0,617.45,606.5,611.8,215231
2025-09-10 00:00:00+05:30,617.7,631.95,617.7,622.95,413580
2025-09-11 00:00:00+05:30,624.8,628.65,616.3,618.9,109277
2025-09-12 00:00:00+05:30,621.4,623.95,613.0,614.65,167134
2025-09-15 00:00:00+05:30,616.0,634.1,616.0,622.25,256474
2025-09-16 00:00:00+05:30,622.25,633.0,620.65,628.3,218598
2025-09-17 00:00:00+05:30,630.25,634.95,620.0,622.6,217545
2025-09-18 00:00:00+05:30,628.0,628.1,620.25,624.75,139985
2025-09-19 00:00:00+05:30,628.0,629.95,619.5,620.55,182672
2025-09-22 00:00:00+05:30,621.3,626.7,616.35,618.6,168471
2025-09-23 00:00:00+05:30,620.95,641.9,619.4,624.7,443581
2025-09-24 00:00:00+05:30,629.7,629.7,617.55,618.9,147745
2025-09-25 00:00:00+05:30,618.0,619.05,611.25,616.4,103245
2025-09-26 00:00:00+05:30,611.15,620.8,601.65,607.15,166106
2025-09-29 00:00:00+05:30,609.0,609.0,570.0,575.25,767918
2025-09-30 00:00:00+05:30,584.05,586.95,569.45,573.75,282756
2025-10-01 00:00:00+05:30,577.7,592.0,570.1,582.55,162890
2025-10-03 00:00:00+05:30,594.0,595.0,579.5,588.3,172305
2025-10-06 00:00:00+05:30,590.0,592.35,579.0,581.25,151310
2025-10-07 00:00:00+05:30,584.95,588.5,578.4,583.2,146618
2025-10-08 00:00:00+05:30,583.2,587.1,574.65,577.3,154072
2025-10-09 00:00:00+05:30,583.0,584.0,575.2,577.45,129573
2025-10-10 00:00:00+05:30,581.0,585.55,575.8,579.55,146885
2025-10-13 00:00:00+05:30,580.65,580.65,571.0,573.3,129793
2025-10-14 00:00:00+05:30,577.8,580.0,568.2,570.15,154390
2025-10-15 00:00:00+05:30,573.9,581.1,570.0,578.9,123497
2025-10-16 00:00:00+05:30,582.35,592.4,580.05,585.25,217369
2025-10-17 00:00:00+05:30,587.1,590.85,573.65,576.45,191993
2025-10-20 00:00:00+05:30,579.5,579.55,569.15,573.2,151761
2025-10-21 00:00:00+05:30,577.9,584.35,576.95,581.85,68589
2025-10-23 00:00:00+05:30,588.0,597.4,575.5,578.9,262988
2025-10-24 00:00:00+05:30,581.45,581.75,574.75,576.25,95026
2025-10-27 00:00:00+05:30,571.5,593.4,571.5,590.75,358582
2025-10-28 00:00:00+05:30,583.15,583.95,574.2,576.15,359985
2025-10-29 00:00:00+05:30,579.0,591.55,575.0,587.05,323557
2025-10-30 00:00:00+05:30,591.0,593.2,578.3,580.9,115075
2025-10-31 00:00:00+05:30,580.9,582.0,572.65,574.05,183488
2025-11-03 00:00:00+05:30,576.8,578.0,568.3,575.4,162871
2025-11-04 00:00:00+05:30,575.3,577.8,567.35,571.5,130535
2025-11-06 00:00:00+05:30,571.9,573.95,560.7,563.45,132608
2025-11-07 00:00:00+05:30,561.0,562.95,553.9,557.05,180946
2025-11-10 00:00:00+05:30,558.7,564.25,550.0,551.25,148266
2025-11-11 00:00:00+05:30,550.95,550.95,532.6,545.65,248840
2025-11-12 00:00:00+05:30,548.35,548.35,536.3,537.65,207215
2025-11-13 00:00:00+05:30,537.55,543.95,530.0,531.65,227144
2025-11-14 00:00:00+05:30,529.7,529.7,518.95,522.35,342347
2025-11-17 00:00:00+05:30,523.0,523.0,512.5,514.3,301088
2025-11-18 00:00:00+05:30,514.1,515.3,500.0,500.9,427730
2025-11-19 00:00:00+05:30,500.75,512.0,493.45,507.35,423679
2025-11-20 00:00:00+05:30,507.5,512.95,500.6,509.1,292461
2025-11-21 00:00:00+05:30,508.5,509.1,495.0,496.0,270800
2025-11-24 00:00:00+05:30,495.75,498.95,455.5,466.85,1562761
2025-11-25 00:00:00+05:30,464.85,490.0,462.6,487.0,700650
2025-11-26 00:00:00+05:30,485.0,492.2,480.5,490.35,373882
2025-11-27 00:00:00+05:30,489.0,504.45,484.0,485.7,313637
2025-11-28 00:00:00+05:30,487.0,488.1,478.9,482.75,145835
2025-12-01 00:00:00+05:30,482.75,484.95,472.0,478.25,205622
2025-12-02 00:00:00+05:30,480.6,481.3,473.7,476.0,136713
2025-12-03 00:00:00+05:30,478.0,478.0,465.9,468.0,165546
2025-12-04 00:00:00+05:30,468.0,472.0,463.0,466.45,143173
2025-12-05 00:00:00+05:30,466.45,466.55,454.0,455.3,189940
2025-12-08 00:00:00+05:30,455.05,455.05,440.5,445.35,246065
2025-12-09 00:00:00+05:30,440.0,455.0,433.05,451.8,240747
2025-12-10 00:00:00+05:30,451.8,460.35,445.35,446.7,147827
2025-12-11 00:00:00+05:30,449.1,452.0,440.35,451.1,115824
2025-12-12 00:00:00+05:30,452.1,456.85,450.1,451.9,122783
2025-12-15 00:00:00+05:30,451.9,458.0,448.0,454.45,152806
2025-12-16 00:00:00+05:30,458.0,458.0,441.4,444.5,315462
2025-12-17 00:00:00+05:30,444.5,445.3,426.25,433.6,394758
2025-12-18 00:00:00+05:30,433.95,434.0,424.5,425.7,201055
2025-12-19 00:00:00+05:30,427.7,431.4,422.65,424.85,249135
2025-12-22 00:00:00+05:30,425.9,443.2,425.9,431.8,313844
2025-12-23 00:00:00+05:30,433.95,438.0,430.4,432.75,269529
2025-12-24 00:00:00+05:30,432.75,436.0,422.0,429.75,404900
2025-12-26 00:00:00+05:30,430.3,435.7,420.2,421.7,486699
2025-12-29 00:00:00+05:30,422.55,424.1,411.5,413.75,288780
2025-12-30 00:00:00+05:30,416.0,418.2,411.0,417.2,174952
2025-12-31 00:00:00+05:30,417.2,430.35,415.15,427.25,321860
2026-01-01 00:00:00+05:30,430.0,430.5,422.75,425.6,125090
2026-01-02 00:00:00+05:30,426.9,437.85,425.25,436.5,220325
2026-01-05 00:00:00+05:30,437.0,440.7,428.0,430.15,142121
2026-01-06 00:00:00+05:30,432.4,434.95,423.7,424.9,128542
2026-01-07 00:00:00+05:30,424.7,427.8,422.5,425.9,115462
2026-01-08 00:00:00+05:30,427.5,428.35,415.25,417.05,161792
2026-01-09 00:00:00+05:30,417.0,417.05,406.0,407.45,208158
2026-01-12 00:00:00+05:30,407.45,407.55,397.95,404.2,241758
2026-01-13 00:00:00+05:30,407.0,411.2,400.5,402.8,158941
2026-01-14 00:00:00+05:30,402.8,412.0,401.1,403.2,194593
2026-01-16 00:00:00+05:30,406.45,407.65,393.75,395.8,224489
2026-01-19 00:00:00+05:30,393.9,395.25,390.2,393.4,147346
2026-01-20 00:00:00+05:30,393.4,396.9,380.0,383.0,541230
2026-01-21 00:00:00+05:30,383.0,395.9,378.6,386.15,650022
2026-01-22 00:00:00+05:30,387.0,394.0,379.0,381.4,240606
2026-01-23 00:00:00+05:30,383.0,384.0,367.15,369.7,248725
2026-01-27 00:00:00+05:30,371.55,420.0,361.0,387.7,3175689
2026-01-28 00:00:00+05:30,392.0,394.85,383.5,387.2,407882
2026-01-29 00:00:00+05:30,387.2,387.5,372.0,373.9,385400
2026-01-30 00:00:00+05:30,372.1,402.0,365.1,379.95,1869208
2026-02-01 00:00:00+05:30,385.0,411.85,379.9,393.7,924905
2026-02-02 00:00:00+05:30,393.7,393.7,377.5,387.45,374895
2026-02-03 00:00:00+05:30,419.15,428.25,403.75,410.95,1354393
2026-02-04 00:00:00+05:30,412.6,422.1,407.95,417.7,394504
2026-02-05 00:00:00+05:30,418.0,418.0,403.1,405.4,243457
2026-02-06 00:00:00+05:30,406.25,406.6,392.0,403.7,322472
2026-02-09 00:00:00+05:30,405.0,423.0,402.25,416.7,726243
2026-02-10 00:00:00+05:30,419.9,430.5,416.8,421.35,570676
2026-02-11 00:00:00+05:30,424.9,424.9,406.0,408.2,259673
2026-02-12 00:00:00+05:30,410.0,410.0,397.6,403.3,280690
2026-02-13 00:00:00+05:30,402.95,407.95,391.3,398.25,488525
2026-02-16 00:00:00+05:30,396.65,396.65,388.9,391.45,209610
2026-02-17 00:00:00+05:30,389.25,407.0,388.0,403.4,415330
2026-02-18 00:00:00+05:30,406.05,408.6,400.1,403.2,145332
2026-02-19 00:00:00+05:30,403.15,404.95,389.1,394.1,269740
2026-02-20 00:00:00+05:30,392.45,400.45,391.0,398.55,189748
2026-02-23 00:00:00+05:30,401.05,405.85,393.3,403.25,216740
2026-02-24 00:00:00+05:30,400.0,403.15,394.0,400.95,188285
2026-02-25 00:00:00+05:30,400.0,404.0,394.8,397.6,204207
2026-02-26 00:00:00+05:30,398.65,414.0,398.1,405.2,351969
2026-02-27 00:00:00+05:30,406.0,406.05,398.0,400.8,198840
2026-03-02 00:00:00+05:30,376.0,403.95,376.0,390.7,391014
2026-03-04 00:00:00+05:30,386.0,395.65,376.2,380.35,367520
2026-03-05 00:00:00+05:30,383.95,394.0,376.4,390.45,377864
2026-03-06 00:00:00+05:30,390.5,391.95,377.1,380.7,485747
2026-03-09 00:00:00+05:30,377.0,379.0,362.7,371.15,464744
2026-03-10 00:00:00+05:30,375.0,379.8,367.9,374.65,397765
2026-03-11 00:00:00+05:30,380.25,384.75,374.05,378.3,280726
2026-03-12 00:00:00+05:30,378.3,384.0,368.75,377.95,228666
2026-03-13 00:00:00+05:30,376.0,376.0,352.85,355.45,397735
2026-03-16 00:00:00+05:30,357.45,360.55,343.15,351.85,492272
2026-03-17 00:00:00+05:30,351.85,354.9,346.95,352.05,203093
2026-03-18 00:00:00+05:30,355.0,382.0,354.1,376.9,651752
2026-03-19 00:00:00+05:30,370.25,404.6,366.55,369.65,1090251
2026-03-20 00:00:00+05:30,371.1,382.0,370.0,372.95,292668
2026-03-23 00:00:00+05:30,361.75,365.2,345.2,347.55,562589
2026-03-24 00:00:00+05:30,354.55,358.0,347.55,350.85,434820
2026-03-25 00:00:00+05:30,355.0,364.95,352.6,354.5,337169
2026-03-27 00:00:00+05:30,352.0,353.05,336.4,342.55,525826
2026-03-30 00:00:00+05:30,336.7,343.0,320.0,321.85,585808
